"Name","State","Notes","User","Tags","Created","Runtime","Sweep","base_model","dtype","effective_wbits","eval_base","eval_datasets","model_seqlen","offload_activations","seed","trust_remote_code","use_fast_tokenizer","wandb","noise_level","wikitext2"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:05.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.017578125","false","[""wikitext2""]","4096","false","0","false","false","true","0.2439815145288723","10.28818130493164"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:55.000Z","88","","meta-llama/Llama-2-7b-hf","auto","3.6484375","false","[""wikitext2""]","4096","false","0","false","false","true","0.006359482116630265","5.119152545928955"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:45.000Z","37","","meta-llama/Llama-2-7b-hf","auto","3.91796875","false","[""wikitext2""]","4096","false","0","false","false","true","0.004376709970350026","5.118068695068359"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:44.000Z","37","","meta-llama/Llama-2-7b-hf","auto","3.68359375","false","[""wikitext2""]","4096","false","0","false","false","true","0.006056972178457031","5.116744041442871"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:43.000Z","38","","meta-llama/Llama-2-7b-hf","auto","3.89453125","false","[""wikitext2""]","4096","false","0","false","false","true","0.00452125028763184","5.117165565490723"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:26.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.263671875","false","[""wikitext2""]","4096","false","0","false","false","true","0.1734577552873161","6.1608710289001465"
"Meta-Llama-3.1-8B","finished","-","","","2024-08-15T01:57:25.000Z","35","","meta-llama/Meta-Llama-3.1-8B","auto","3.970703125","false","[""wikitext2""]","8192","false","0","false","false","true","0.004068164549563735","5.60500955581665"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:19.000Z","37","","meta-llama/Llama-2-7b-hf","auto","3.84765625","false","[""wikitext2""]","4096","false","0","false","false","true","0.004824808843503646","5.115058422088623"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:18.000Z","38","","meta-llama/Llama-2-7b-hf","auto","3.75390625","false","[""wikitext2""]","4096","false","0","false","false","true","0.005494437475855529","5.117767333984375"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:57:03.000Z","74","","meta-llama/Llama-2-7b-hf","auto","3.6015625","false","[""wikitext2""]","4096","false","0","false","false","true","0.006786460294037915","5.1163225173950195"
